	Sum Sq	Df	F value	Pr(>F)	gene	Left_2_LOD	Right_2_LOD	Chrom	Left	Right	genes	reduced_genes	reduced_genes_all
chr14_431004	114372346.589449	7	8.86797665679751	6.35344162842165e-11	POL1	chr14_428526	chr14_482990	chr14	428526	482990	MET4;POL1;AVT4;AIM37;OCA1;RAS2;YNL097C-B;PHO23;RPS7B;YNL095C;APP1;YPT53;YNL092W;NST1;RHO2;TOP2;TCB2;SNN1;MKT1;END3;SAL1;PMS1;SWS2;EOS1;TPM1;NIS1;APJ1;MKS1	MET4;POL1;AVT4;AIM37;OCA1;RAS2;YNL097C-B;PHO23;RPS7B;YNL095C;APP1;YPT53;YNL092W	OCA1
chr16_321672	112291194.178442	7	8.70661237993874	1.06531181486925e-10	NA	chr16_308714	chr16_349201	chr16	308714	349201	TBF1;HHO1;NAN1;KAP120;SPC29;RNY1;TFB2;MEI5;VPS30;YPL119C-A;DBP1;MRP51;IDI1;HOS3;BEM3;YPL113C;PEX25;CAR1;GDE1;YPL109C;YPL108W;YPL107W	TBF1;HHO1;NAN1;KAP120;SPC29;RNY1;TFB2;MEI5;VPS30;YPL119C-A;DBP1;MRP51;IDI1;HOS3;BEM3;YPL113C;PEX25;CAR1;GDE1;YPL109C;YPL108W;YPL107W	HHO1;NAN1;IDI1;HOS3;BEM3
chr12_611102	112138873.194517	7	8.69480201694396	1.10635209897111e-10	TOP3	chr12_584384	chr12_615939	chr12	584384	615939	IFH1;YLR224W;YLR225C;BUR2;ADY4;ECM22;CDC42;BNA5;EST1;TOP3;THI7;FAR10;LIP2	IFH1;YLR224W;YLR225C;BUR2;ADY4;ECM22;CDC42;BNA5;EST1;TOP3;THI7;FAR10;LIP2	IFH1;YLR224W;YLR225C;BUR2;ADY4;ECM22;CDC42
chr16_775174	109545291.160501	7	8.49370598612017	2.1045273017282e-10	CLB5	chr16_715948	chr16_785442	chr16	715948	785442	YPR089W;YPR091C;ASR1;RDS3;SYT1;YPR096C;YPR097W;YPR098C;MRPL51;SNT309;RPL11A;PRE2;FHL1;COG4;ISR1;YTH1;RPN7;YPR108W-A;YPR109W;RPC40;DBF20;MRD1;PIS1;YPR114W;RGC1;RRG8;YPR117W;MRI1;CLB2;CLB5;THI22;AXL1;CTR1	YPR091C;ASR1;RDS3;SYT1;YPR096C;YPR097W;YPR098C;MRPL51;SNT309;RPL11A;PRE2	YPR097W;YPR098C;MRPL51;SNT309;RPL11A;PRE2
chr08_503996	105543170.659285	7	8.18339748724955	5.66303532834756e-10	YHR202W	chr08_501036	chr08_504256	chr08	501036	504256	PPX1;YHR202W;RPS4B	PPX1;YHR202W;RPS4B	PPX1;YHR202W;RPS4B
chr02_381247	103221789.657549	7	8.00340684135662	1.0041485292917e-09	NA	chr02_375505	chr02_477212	chr02	375505	477212	BAP2;TAT1;ALG14;YBR071W;HSP26;YBR072C-A;RDH54;YBR074W;ECM8;SLM4;ECM33;RPG1;SEC18;SPT7;UBC4;TEC1;MIS1;RPL19A;AAC3;YBR085C-A;IST2;RFC5;POL30;NHP6B;YBR090C;TIM12;PHO3;PHO5;PBY1;RXT2;YBR096W;VPS15;MMS4;FES1;EXO84;SIF2;YMC2;VID24;PHO88;IML3;AIM3;CMD1;ALG1;YSA1;SUS1;CYC8;RAD16;LYS2;TKL2;TEF2	BAP2;TAT1;ALG14;YBR071W;HSP26;YBR072C-A;RDH54;YBR074W;ECM8;SLM4;ECM33;RPG1;SEC18;SPT7;UBC4;TEC1;MIS1;RPL19A;AAC3;YBR085C-A;IST2;RFC5;POL30;NHP6B;YBR090C;TIM12;PHO3;PHO5;PBY1;RXT2;YBR096W;VPS15;MMS4;FES1;EXO84;SIF2;YMC2;VID24;PHO88;IML3;AIM3;CMD1;ALG1;YSA1;SUS1;CYC8;RAD16;LYS2;TKL2;TEF2	YSA1;SUS1;CYC8
chr10_455410	101696919.932825	7	7.88517451049391	1.46197834201913e-09	NA	chr10_400122	chr10_458245	chr10	400122	458245	BBC1;MPS3;YJL016W;CCT3;MAD3;VTC4;RPC17;NOP9;CCT8;CTK2;CYR1;SYS1;COX16;OST1;PRE3;AVT1;MPP10;YJR003C;SAG1;APL1;YJR005C-A;POL31;SUI2;YJR008W;TDH2;MET3;SPC1;YJR011C	BBC1;MPS3;YJL016W;CCT3;MAD3;VTC4;RPC17;NOP9;CCT8;CTK2;CYR1;SYS1;COX16;OST1;PRE3;AVT1;MPP10;YJR003C;SAG1;APL1;YJR005C-A;POL31;SUI2;YJR008W;TDH2;MET3;SPC1;YJR011C	CYR1;SYS1;COX16;OST1;PRE3;AVT1;MPP10;YJR003C;SAG1;APL1;YJR005C-A;POL31;SUI2;YJR008W;TDH2
chr05_487604	101541961.293362	7	7.87315963418414	1.51882607618997e-09	NA	chr05_476009	chr05_524803	chr05	476009	524803	OXA1;BEM2;YER156C;COG3;YER158C;BUR6;SPT2;RAD4;YER163C;CHD1;PAB1;DNF1;BCK2;CCA1;RPH1	OXA1;BEM2;YER156C;COG3;YER158C;BUR6;SPT2;RAD4;YER163C;CHD1;PAB1;DNF1;BCK2;CCA1;RPH1	RAD4;YER163C;CHD1;PAB1;DNF1;BCK2
chr12_200755	92962254.5800915	7	7.20792331505394	1.24507108589487e-08	ADE16	chr12_125788	chr12_208353	chr12	125788	208353	YEH1;SOF1;PSR1;COX17;DRS1;YLL007C;YLL006W-A;MMM1;SPO75;ORC3;SFI1;RTT109;DNM1;YLR001C;NOC3;CMS1;THI73;SSL1;SSK1;NSE1;PAM18;RLP24;TEN1;LOT6;YLR012C;GAT3;PPR1;BRE2;PML1;MEU1;POM34;PSR2;YEH2;IRC25;SDO1;IZH3;UBR2;SNF7;SED5;AAT2;ADE16;RPL15A;YLR030W;YLR031W;RAD5;RSC58	YEH1;SOF1;PSR1;COX17;DRS1;YLL007C;YLL006W-A;MMM1;SPO75;ORC3;SFI1;RTT109;DNM1;YLR001C;NOC3;CMS1;THI73;SSL1;SSK1;NSE1;PAM18;RLP24;TEN1;LOT6;YLR012C;GAT3;PPR1;BRE2;PML1;MEU1;POM34;PSR2;YEH2;IRC25;SDO1;IZH3;UBR2;SNF7;SED5;AAT2;ADE16;RPL15A;YLR030W;YLR031W;RAD5;RSC58	YEH1;SOF1;PSR1;COX17;DRS1;YLL007C;YLL006W-A;MMM1;SPO75;ORC3;SFI1;RTT109;DNM1;YLR001C;NOC3;CMS1;THI73;SSL1;SSK1;NSE1;PAM18;RLP24;TEN1;LOT6;YLR012C;GAT3;PPR1;BRE2;PML1;MEU1;POM34;PSR2;YEH2;IRC25;SDO1;IZH3;UBR2;SNF7;SED5;AAT2;ADE16;RPL15A;YLR030W;YLR031W;RAD5;RSC58
chr11_382359	91749874.1334286	7	7.11392015938942	1.67376306497115e-08	NA	chr11_379560	chr11_382968	chr11	379560	382968	IXR1;MAE1	IXR1;MAE1	IXR1;MAE1
chr06_160792	87101917.7943497	7	6.75353611948927	5.18528649515248e-08	FAR7	chr06_116113	chr06_175522	chr06	116113	175522	WWM1;CDC4;SMC1;BLM10;SEC4;VTC2;MSH4;SPB4;DEG1;LOC1;NIC96;YPI1;RPN11;SAD1;YFR006W;YFH7;FAR7;GCN20;UBP6;AIM13;YFR012W;YFR012W-A;IOC3;CMK1;GSY1	RPN11;SAD1;YFR006W;YFH7;FAR7;GCN20;UBP6;AIM13;YFR012W;YFR012W-A;IOC3;CMK1;GSY1	GCN20
chr10_140120	84583114.075037	7	6.55823810163798	9.54546550630548e-08	NA	chr10_113166	chr10_158556	chr10	113166	158556	YJL163C;JJJ2;FMP33;YJL160C;HSP150;CIS3;FAR1;SSY5;FBP26;VPS35;INO1;SNA3;DAS1;RPA34;YJL147C;IDS2;SFH5;YJL144W;TIM17;YAK1;RPB4;YUR1;TIF2;GLG2;YJL136W-A;RPS21B;LCB3	HSP150;CIS3;FAR1;SSY5;FBP26;VPS35;INO1;SNA3;DAS1;RPA34;YJL147C;IDS2;SFH5;YJL144W;TIM17;YAK1;RPB4;YUR1;TIF2;GLG2;YJL136W-A;RPS21B;LCB3	VPS35;INO1;SNA3;DAS1;RPA34;YJL147C;IDS2;SFH5;YJL144W;TIM17;YAK1;RPB4;YUR1;TIF2;GLG2;YJL136W-A;RPS21B;LCB3
chr04_1383081	83442784.1854897	7	6.46982145947662	1.25750551718234e-07	PFA5	chr04_1297645	chr04_1411104	chr04	1297645	1411104	ERD1;YDR415C;SYF1;RPL12B;RAD30;HKR1;ARO80;SIP1;CAD1;DYN2;SNX41;RPN9;BNA7;TIF35;CYM1;NPL3;GPI17;PPM1;PPZ2;GPI19;THI74;LRS4;DOT1;APT2;SSN2;YDR444W;ECM11;RPS17B;ADA2;UTP6;RPS18A;YHP1;PPN1;TSA2;GUK1;NHX1;TOM1;HEH2;PFA5;TFB3;MFA1;YDR461C-A;MRPL28;STP1;SPP41;RMT2;PKH3;TLG1;SDC1;UGO1;RPL27B;TRS31;PRP3;JIP4;YDR476C	DOT1;APT2;SSN2;YDR444W;ECM11;RPS17B;ADA2;UTP6;RPS18A;YHP1;PPN1	DOT1;APT2;SSN2;YDR444W
chr13_911082	73146037.8338165	7	5.67145271903823	1.48557915041517e-06	ADH6	chr13_44091	0	chr13	44091	1e+07	TAF8;DAT1;CTK3;BUL2;COQ5;ZDS2;YML108W;PML39;URA5;SEC65;MDM1;NUP188;CAC2;CUE4;YML100W-A;TSL1;ARG81;TAF13;VPS9;YML096W;RAD10;GIM5;UTP14;PRE8;RPM2;UFO1;AIM33;ALO1;TUB1;YML083C;YML082W;ATP18;TDA9;DUS1;YML079W;CPR3;BET5;WAR1;HMG1;FPR3;RPL6A;TCB3;COG8;DAK1;POB3;ITT1;ERV41;SMA2;ORC1;TEM1;RPS1B;MFT1;PIF1;OGG1;NTE1;HUG1;SML1;CMP2;IMD4;SPC2;CYB2;YML054C-A;YML053C;SUR7;GAL80;AIM32;RSE1;GSF2;PRM6;PRP39;RRN11;CAT2;VPS71;YMD8;YML037C;CGI121;AMD1;SRC1;RAD52;NDC1;AIM31;USA1;TSA1;YOX1;RPS18B;YML6;RPS17A;NSE5;APT1;UNG1;YML020W;OST6;YML018C;PSP2;PPZ1;TAF11;TRM9;UBX2;ERV25;RAD33;SPT5;MRPL39;ERG6;YML007C-A;YAP1;GIS4;TRM12;GLO1;YML003W;YML002W;YPT7;CDC5;YMR001C-A;MIC17;AIM34;MVP1;TAF4;PLB2;PLB1;ADI1;YMR010W;HXT2;CLU1;SEC59;BUD22;ERG5;SOK2;SPO20;YMR018W;STB4;FMS1;MAC1;UBC7;MSS1;MRPL3;CSI1;PEX12;YMR027W;TAP42;FAR8;RSF1;EIS1;HOF1;YMR030W-A;ARP9;YMR034C;IMP2;MIH1;MSN2;CCS1;SUB1;YET2;ARA2;ARG80;MCM1;IOC4;NUP116;CSM3;ERB1;FAR3;STB2;STV1;BUB2;AAC1;FET3;SEN15;SAM37;RNA14;ARG7;RIM9;AEP1;KAR5;SOV1;UBX4;AVO2;NAT4;MOT3;TVP18;ABF2;IRC21;YMR074C;RCO1;PDS5;VPS20;CTF18;SEC14;NAM7;ISF1;ADH3;YMR084W;YMR085W;YMR086W;YMR087W;VBA1;YTA12;YMR090W;NPL6;AIP1;UTP15;CTF13;SNO1;SNZ1;MTG1;ATP25;YMR099C;MUB1;SRT1;YMR102C;YPK2;PGM2;YMR105W-A;YKU80;SPG4;ILV2;MYO5;HFD1;YMR111C;MED11;FOL3;YMR114C;MGR3;ASC1;SPC24;YMR118C;ASI1;ADE17;RPL15B;YMR122W-A;PKR1;YMR124W;STO1;DLT1;SAS2;ECM16;POM152;YMR130W;RRB1;JLP2;REC114;YMR134W;GID8;GAT2;PSO2;CIN4;RIM11;SIP5;RPL13B;RPS16A;YMR144W;NDE1;TIF34;YMR147W;OSW5;SWP1;IMP1;YIM1;NUP53;RIM13;YMR155W;TPP1;AIM36;MRPS8;YMR158C-A;ATG16;YMR160W;HLJ1;DNF3;INP2;MSS11;PAH1;YMR166C;MLH1;CEP3;ALD3;ALD2;EAR1;HOT1;DDR48;PAI3;SIP18;YMR175W-A;ECM5;MMT1;YMR178W;SPT21;CTL1;YMR181C;RGM1;YMR182W-A;SSO2;ADD37;YMR185W;HSC82;YMR187C;MRPS17;GCV2;SGS1;SPG5;GYL1;MRPL24;RPL36A;CMC4;ICY1;YMR196W;VTI1;CIK1;CLN1;ROT1;RAD14;ERG2;TOM40;INP1;PFK2;YMR206W;HFA1;ERG12;YMR209C;YMR210W;DML1;EFR3;CEF1;SCJ1;GAS3;SKY1;GUA1;TRS130;ESC1;ERG8;YMR221C;FSH2;UBP8;MRE11;MRPL44;YMR226C;TAF7;MTF1;RRP5;RPS10B;YMR230W-A;PEP5;FUS2;TRI1;RNH1;RNA1;TAF9;BCH1;DFG5;RNT1;CUS1;YHM2;RPL20A;YMR242W-A;ZRC1;YMR244W;YMR244C-A;FAA4;RKR1;YMR247W-A;GAD1;GTO3;HOR7;YMR252C;YMR253C;GFD1;COX7;PET111;ROY1;YMR259C;TIF11;TPS3;YMR262W;SAP30;CUE1;YMR265C;RSN1;PPA2;PRP24;TMA23;RRN9;URA10;SCS7;YMR272W-B;ZDS1;RCE1;BUL1;DSK2;FCP1;PGM3;YMR279C;CAT8;GPI12;AEP2;RIT1;YKU70;NGL2;MRPL33;DSS1;HSH155;ABZ2;HAS1;TDA1;GOT1;HER2;JNM1;YMR295C;LCB1;PRC1;LIP1;DYN3;ADE4;ATM1;YME2;ADH2;UBP15;SCW10;FKS3;GAS1;PSE1;NIP1;YMR310C;GLC8;ELP6;TGL3;PRE5;YMR315W;YMR315W-A;DIA1;YMR316C-A;YMR317W;ADH6;FET4;YMR321C;SNO4;ERR3;PAU19	HXT2;CLU1;SEC59;BUD22;ERG5;SOK2;SPO20;YMR018W	SPO20
chr05_305860	70697237.1827984	7	5.48158246055406	2.65690704481172e-06	NA	chr05_282033	chr05_336099	chr05	282033	336099	THO1;YER064C;ICL1;RRT13;RGI1;MOT2;ARG5%2C6;RNR1;TDA2;VTC1;ALD5;RPS24A;YOS1;PTP3;YER076C;YER077C;ICP55;YER078W-A;YER079W;AIM9;SER3;UTP7;GET2;YER084W;YER085C;ILV1;AIM10;SBH1;DOT6;PTC2	DOT6;PTC2	PTC2
