	Sum Sq	Df	F value	Pr(>F)	gene	Left_2_LOD	Right_2_LOD	Chrom	Left	Right	genes	reduced_genes	reduced_genes_all
chr15_989634	126672970.943821	7	8.56929257478933	1.65122334869325e-10	NA	chr15_959666	chr15_1065095	chr15	959666	1065095	UBC11;RPA43;RPA190;YOR342C;TYE7;REV1;PYK2;PUT4;CIN1;MNE1;MEK1;YOR352W;SOG2;MSC6;GDS1;CIR2;SNX3;HAP5;VTS1;PDE2;PRT1;PRE10;PIP2;YOR365C;SCP1;RAD17;RPS12;MRS6;GPB1;NDD1;NUD1;ALD4;GDH1;YOR376W-A;ATF1;YOR378W;RDR1;FRE3;YOR381W-A;FIT2;FIT3;FRE5;YOR385W	PYK2;PUT4;CIN1;MNE1	PUT4;CIN1;MNE1
chr13_581321	126162443.521805	7	8.53475593438283	1.84396361479966e-10	DNF3	chr13_563605	chr13_588673	chr13	563605	588673	YIM1;NUP53;RIM13;YMR155W;TPP1;AIM36;MRPS8;YMR158C-A;ATG16;YMR160W;HLJ1;DNF3;INP2;MSS11	RIM13;YMR155W;TPP1;AIM36;MRPS8;YMR158C-A;ATG16;YMR160W;HLJ1;DNF3;INP2;MSS11	YMR160W
chr02_392135	124306000.094063	7	8.40916949899465	2.75405407864774e-10	SLM4	chr02_375505	chr02_394208	chr02	375505	394208	BAP2;TAT1;ALG14;YBR071W;HSP26;YBR072C-A;RDH54;YBR074W;ECM8;SLM4;ECM33	BAP2;TAT1;ALG14;YBR071W;HSP26;YBR072C-A;RDH54;YBR074W;ECM8;SLM4;ECM33	BAP2;TAT1;ALG14;YBR071W;HSP26;YBR072C-A;RDH54;YBR074W;ECM8;SLM4;ECM33
chr01_42306	115890618.574291	7	7.83987783531858	1.68664821755217e-09	PEX22	chr01_34815	chr01_46723	chr01	34815	46723	BDH2;BDH1;ECM1;CNE1;GPB2;PEX22;ACS1;FLC2	BDH2;BDH1;ECM1;CNE1;GPB2;PEX22;ACS1	BDH2
chr02_163478	115666093.643291	7	7.82468896108806	1.76994169319964e-09	PET9	chr02_160074	chr02_165979	chr02	160074	165979	RIB1;HEK2;SHE1;PET9;YBL029C-A;YBL029W	RIB1;HEK2;SHE1;PET9;YBL029C-A;YBL029W	SHE1;PET9;YBL029C-A;YBL029W
chr06_163561	113256060.512272	7	7.66165276748839	2.9678578487519e-09	GCN20	chr06_117163	chr06_175522	chr06	117163	175522	CDC4;SMC1;BLM10;SEC4;VTC2;MSH4;SPB4;DEG1;LOC1;NIC96;YPI1;RPN11;SAD1;YFR006W;YFH7;FAR7;GCN20;UBP6;AIM13;YFR012W;YFR012W-A;IOC3;CMK1;GSY1	SMC1;BLM10;SEC4;VTC2;MSH4;SPB4;DEG1;LOC1;NIC96;YPI1;RPN11;SAD1;YFR006W;YFH7;FAR7;GCN20;UBP6;AIM13;YFR012W;YFR012W-A;IOC3;CMK1;GSY1	GCN20
chr14_696950	107721276.533451	7	7.28723048229697	9.69056789115653e-09	DBP6	chr14_677107	chr14_701158	chr14	677107	701158	CPR8;YNR029C;ALG12;SSK2;PPG1;HUB1;ABZ1;SOL1;YNR034W-A;ARC35;MRPS12;RSM19;DBP6;ZRG17;YNR040W;COQ2;MVD1	ARC35;MRPS12;RSM19;DBP6;ZRG17;YNR040W;COQ2;MVD1	ARC35;MRPS12;RSM19;DBP6;ZRG17;YNR040W;COQ2
chr12_611030	98250855.7639771	7	6.64656652869019	7.24069903278778e-08	TOP3	chr12_562799	chr12_612537	chr12	562799	612537	CLB4;YLR211C;TUB4;CRR1;FRE1;CDC123;CPR6;COA4;MSC3;CCC1;RSA3;UTP13;IFH1;YLR224W;YLR225C;BUR2;ADY4;ECM22;CDC42;BNA5;EST1;TOP3;THI7	CLB4;YLR211C;TUB4;CRR1;FRE1;CDC123;CPR6;COA4;MSC3;CCC1;RSA3;UTP13;IFH1;YLR224W;YLR225C;BUR2;ADY4;ECM22;CDC42;BNA5;EST1;TOP3;THI7	CLB4;YLR211C;TUB4;CRR1;FRE1;CDC123;CPR6
chr13_716930	74495889.3370743	7	5.03956816195332	1.01748386466012e-05	UBP8	chr13_676973	chr13_759671	chr13	676973	759671	YMR206W;HFA1;ERG12;YMR209C;YMR210W;DML1;EFR3;CEF1;SCJ1;GAS3;SKY1;GUA1;TRS130;ESC1;ERG8;YMR221C;FSH2;UBP8;MRE11;MRPL44;YMR226C;TAF7;MTF1;RRP5;RPS10B;YMR230W-A;PEP5;FUS2;TRI1;RNH1;RNA1;TAF9;BCH1;DFG5;RNT1;CUS1;YHM2;RPL20A;YMR242W-A;ZRC1;YMR244W;YMR244C-A;FAA4	YMR206W;HFA1;ERG12;YMR209C;YMR210W;DML1;EFR3;CEF1;SCJ1;GAS3;SKY1;GUA1;TRS130;ESC1;ERG8;YMR221C;FSH2;UBP8;MRE11;MRPL44;YMR226C;TAF7;MTF1;RRP5;RPS10B;YMR230W-A;PEP5;FUS2;TRI1;RNH1;RNA1;TAF9;BCH1;DFG5;RNT1;CUS1;YHM2;RPL20A;YMR242W-A;ZRC1;YMR244W;YMR244C-A;FAA4	ERG12;YMR209C;YMR210W;DML1;EFR3;CEF1;SCJ1;GAS3
chr03_105309	71933024.5256653	7	4.86619306673797	1.71567395648695e-05	ILV6	chr03_80427	chr03_301609	chr03	80427	301609	KCC4;YCL021W-A;LEU2;NFS1;DCC1;BUD3;YCL012C;GBP2;SGF29;ILV6;STP22;VMA9;LDB16;PGS1;YCL002C;RER1;YCL001W-A;YCL001W-B;CDC10;MRPL32;YCP4;CIT2;YCR007C;SAT4;RVS161;ADY2;ADP1;PGK1;POL4;YCR015C;YCR016W;CWH43;SRD1;MAK32;PET18;MAK31;HTL1;HSP30;YCR023C;SLM5;YCR024C-B;PMP1;NPP1;RHB1;FEN2;RIM1;SYP1;RPS14A;BPH1;SNT1;FEN1;RRP43;RBK1;PHO87;BUD5;MATALPHA2;MATALPHA1;YCR041W;TAF2;YCR043C;PER1;RRT12;IMG1;BUD23;ARE1;YCR050C;YCR051W;RSC6;THR4;CTR86;PWP2;YIH1;TAH1;YCR061W;BUD31;HCM1;RAD18;SED4;ATG15;CPR4;IMG2;RSA4;SSK22;SOL2;ERS1;YCR075W-A;YCR076C;PAT1;PTC6;SRB8;AHC2;TRX3;TUP1;CSM1;YCR087C-A;ABP1;FIG2;YCR090C;KIN82;MSH3;CDC39;CDC50;OCA4;YCR095W-A;HMRA2;HMRA1;GIT1;YCR099C;YCR100C	KCC4;YCL021W-A;LEU2;NFS1;DCC1;BUD3;YCL012C;GBP2;SGF29;ILV6;STP22;VMA9;LDB16;PGS1;YCL002C;RER1;YCL001W-A;YCL001W-B;CDC10;MRPL32;YCP4;CIT2;YCR007C;SAT4;RVS161;ADY2;ADP1;PGK1;POL4;YCR015C;YCR016W;CWH43;SRD1;MAK32;PET18;MAK31;HTL1;HSP30;YCR023C;SLM5;YCR024C-B;PMP1;NPP1;RHB1;FEN2;RIM1;SYP1;RPS14A;BPH1;SNT1;FEN1;RRP43;RBK1;PHO87;BUD5;MATALPHA2;MATALPHA1;YCR041W;TAF2;YCR043C;PER1;RRT12;IMG1;BUD23;ARE1;YCR050C;YCR051W;RSC6;THR4;CTR86;PWP2;YIH1;TAH1;YCR061W;BUD31;HCM1;RAD18;SED4;ATG15;CPR4;IMG2;RSA4;SSK22;SOL2;ERS1;YCR075W-A;YCR076C;PAT1;PTC6;SRB8;AHC2;TRX3;TUP1;CSM1;YCR087C-A;ABP1;FIG2;YCR090C;KIN82;MSH3;CDC39;CDC50;OCA4;YCR095W-A;HMRA2;HMRA1;GIT1;YCR099C;YCR100C	SNT1;FEN1;RRP43;RBK1;PHO87;SSK22;SOL2;ERS1;YCR075W-A;YCR076C;PAT1;PTC6;TUP1;CSM1
chr13_146419	70146250.3063126	7	4.74531967964804	2.46568482062078e-05	NA	chr13_144789	chr13_153028	chr13	144789	153028	ORC1;TEM1;RPS1B;MFT1;PIF1;OGG1;NTE1	ORC1;TEM1;RPS1B;MFT1;PIF1;OGG1;NTE1	ORC1;TEM1;RPS1B;MFT1;PIF1;OGG1;NTE1
chr05_461990	68523802.3728981	7	4.63556279208789	3.42322618616193e-05	NA	chr05_317845	chr05_463877	chr05	317845	463877	ICP55;YER078W-A;YER079W;AIM9;SER3;UTP7;GET2;YER084W;YER085C;ILV1;AIM10;SBH1;DOT6;PTC2;TRP2;MET6;IES5;TSC11;AIM11;PUP3;RAD51;SHC1;UBP9;PRS2;UBC6;AST2;RPS8B;SSA4;RTT105;NUP157;MAM1;GLE2;FLO8;KAP123;SWI4;LSM4;TMN3;BOI2;SPR6;SLX8;RPL23B;SHO1;AVT6;SCS2;YER121W;GLO3;YCK3;DSE1;RSP5;NSA2;LCP5;YER128W;SAK1;YER130C;RPS26B;PMD1;GLC7;YER134C;GDI1;YER137C;YER138W-A;RTR1;YER140W;COX15;MAG1;DDI1;UBP5;FTR1;LSM5;SCC4	ICP55;YER078W-A;YER079W;AIM9;SER3;UTP7;GET2;YER084W;YER085C;ILV1;AIM10;SBH1;DOT6;PTC2;TRP2;MET6;IES5;TSC11;AIM11;PUP3;RAD51;SHC1;UBP9;PRS2;UBC6;AST2;RPS8B;SSA4;RTT105;NUP157;MAM1;GLE2;FLO8;KAP123;SWI4;LSM4;TMN3;BOI2;SPR6;SLX8;RPL23B;SHO1;AVT6;SCS2;YER121W;GLO3;YCK3;DSE1;RSP5;NSA2;LCP5;YER128W;SAK1;YER130C;RPS26B;PMD1;GLC7;YER134C;GDI1;YER137C;YER138W-A;RTR1;YER140W;COX15;MAG1;DDI1;UBP5;FTR1;LSM5;SCC4	PTC2
