	Sum Sq	Df	F value	Pr(>F)	gene	Left_2_LOD	Right_2_LOD	Chrom	Left	Right	genes	reduced_genes	reduced_genes_all
chr10_695523	46024475.1218233	7	10.8075446323783	1.21294729896285e-13	HIR3	chr10_692226	chr10_704073	chr10	692226	704073	HIR3;YJR141W;YJR142W;PMT4;MGM101;RPS4A;YJR146W;HMS2	HIR3;YJR141W;YJR142W;PMT4;MGM101;RPS4A;YJR146W;HMS2	HIR3;YJR141W;YJR142W;PMT4;MGM101;RPS4A;YJR146W;HMS2
chr02_304722	42331826.3306761	7	9.94043063452414	2.01283490709995e-12	NA	chr02_286939	chr02_342319	chr02	286939	342319	CHS3;SCO2;OLA1;ETR1;YPK3;CDS1;RKM3;RPL4A;EDS1;HMT1;PDX3;CSG2;SCO1;CHS2;ATP3;FIG1;FAT1;CST26;QDR3;TCM62;GIP1;ZTA1;FMP23;RPS11B;REB1;REG2;RFS1;YBR053C;YRO2	CHS3;SCO2;OLA1;ETR1;YPK3;CDS1;RKM3;RPL4A;EDS1;HMT1;PDX3;CSG2;SCO1;CHS2;ATP3;FIG1;FAT1;CST26;QDR3;TCM62;GIP1;ZTA1;FMP23;RPS11B;REB1;REG2;RFS1;YBR053C;YRO2	EDS1
chr01_44261	40379163.6634293	7	9.48190310384857	8.83501650841559e-12	ACS1	chr01_38180	chr01_50660	chr01	38180	50660	CNE1;GPB2;PEX22;ACS1;FLC2;OAF1	CNE1;GPB2;PEX22;ACS1;FLC2;OAF1	CNE1
chr05_197547	37652164.1741018	7	8.84154449866365	6.91380869798671e-11	RPN3	chr05_196391	chr05_242801	chr05	196391	242801	GPA2;RPN3;SRB4;PRO3;YAT2;GCD11;CHO1;GAL83;MIG3;SMB1;CHZ1;YPT31;FIR1;ZRG8;YER034W;EDC2;ARB1;PHM8;KRE29;YER038W-A;HVG1;YER039C-A;GLN3;YEN1;MXR1;SAH1;ERG28;MEI4;ACA1;SPO73	GPA2;RPN3;SRB4;PRO3;YAT2;GCD11;CHO1;GAL83;MIG3;SMB1;CHZ1;YPT31;FIR1;ZRG8;YER034W;EDC2;ARB1;PHM8;KRE29	GPA2;RPN3;SRB4;PRO3;YAT2;GCD11;CHO1;GAL83;MIG3;SMB1;CHZ1;YPT31;FIR1;ZRG8;YER034W;EDC2;ARB1;PHM8;KRE29
chr16_264769	33130476.296977	7	7.77975414871704	2.04252207688815e-09	NA	chr16_238853	chr16_268868	chr16	238853	268868	SET6;MLH3;SVS1;YPL162C;BEM4;CDC60;PET20;AIM44;TGS1;PRM4;KIP2;PEP4;RAD53;YPL152W-A;RRD2;PRP46;YPL150W	SET6;MLH3;SVS1;YPL162C;BEM4;CDC60;PET20;AIM44;TGS1;PRM4;KIP2;PEP4;RAD53;YPL152W-A;RRD2;PRP46;YPL150W	SET6;MLH3;SVS1;YPL162C;BEM4;CDC60;PET20;AIM44;TGS1;PRM4;KIP2;PEP4;RAD53;YPL152W-A;RRD2;PRP46;YPL150W
chr14_349985	31646572.8535919	7	7.43130144714739	6.15395590825209e-09	ALF1	chr14_303421	chr14_354773	chr14	303421	354773	RPS3;MRPL22;TDA7;NOP13;MDG1;APC1;PSD1;FMP41;SKO1;BNI5;YNL165W;IBD2;RIA1;YNL162W-A;RPL42A;CBK1;YGP1;ASI2;PGA1;IGO1;NSG2;YNL155W;YCK2;GIM3;INN1;RPC31;PGA2;ALF1;LSM7;YNL146C-A;YNL146W;MFA2;YNL144C	RPS3;MRPL22;TDA7;NOP13;MDG1;APC1;PSD1;FMP41;SKO1;BNI5;YNL165W;IBD2;RIA1;YNL162W-A;RPL42A;CBK1;YGP1;ASI2;PGA1;IGO1;NSG2;YNL155W;YCK2;GIM3;INN1;RPC31;PGA2;ALF1;LSM7;YNL146C-A;YNL146W	RPS3
chr13_304319	31042348.0284472	7	7.28941635778009	9.62969511054393e-09	SOK2	chr13_296848	chr13_309197	chr13	296848	309197	SEC59;BUD22;ERG5;SOK2;SPO20	SEC59;BUD22;ERG5;SOK2;SPO20	SPO20
chr05_516748	30709249.6897869	7	7.21119764583361	1.23214821307849e-08	DNF1	chr05_503517	chr05_542378	chr05	503517	542378	RAD4;YER163C;CHD1;PAB1;DNF1;BCK2;CCA1;RPH1;ADK2;RAD3;BRR2;RAD24;GRX4;TMT1;YER175W-A;ECM32	RAD4;YER163C;CHD1;PAB1;DNF1;BCK2;CCA1;RPH1;ADK2;RAD3;BRR2;RAD24	RAD4;YER163C;CHD1;PAB1;DNF1;BCK2
chr12_891602	30685397.7820864	7	7.20559670076344	1.25407705977108e-08	IKI3	chr12_887813	chr12_936873	chr12	887813	936873	SMC6;IKI3;SWC7;VAC14;REH1;RPS29A;STE23;ECM19;CCW14;ART10;ATP10;CST9;COX8;VPS33;AFG2;SKI2;BDF1;DUS3;SFP1;FLD1;DUS4;RPL31B;YLR406C-A;YLR407W;BLS1;UTP21;VIP1	SMC6;IKI3;SWC7;VAC14;REH1;RPS29A;STE23;ECM19;CCW14;ART10;ATP10;CST9;COX8;VPS33;AFG2;SKI2;BDF1;DUS3;SFP1;FLD1;DUS4;RPL31B;YLR406C-A;YLR407W;BLS1;UTP21;VIP1	SMC6;IKI3
chr01_193116	30516382.1859436	7	7.16590817429908	1.42100640760932e-08	SWH1	chr01_112790	chr01_196080	chr01	112790	196080	CCR4;ATS1;FUN30;YAL018C;PSK1;TPD3;NTG1;SYN8;DEP1;CYS3;SWC3;MDM10;SPO7;FUN14;ERP2;SSA1;EFB1;VPS8;TFC3;NUP60;ERP1;SWD1;RFA1;SEN34;BUD14;ADE1;KIN3;CDC15;PAU7;YAR023C;UIP3;YAR028W;YAR029W;PRM9;MST28;YAT1;YAR035C-A;SWH1	YAR035C-A;SWH1	SWH1
chr14_614705	29451261.6575317	7	6.91579478095338	3.11843615306314e-08	NA	chr14_569847	chr14_643585	chr14	569847	643585	YNL035C;YNL034W;YNL033W;SIW14;HHT2;HHF2;KTR5;CRZ1;SAM50;SSN8;KSH1;YNL024C;FAP1;YNL022C;HDA1;ARK1;YNL019C;YNL018C;PUB1;PBI2;HEF3;SPO1;YNL011C;YNL010W;IDP3;ASI3;SIS1;LST8;MRP7;HRB1;PET8;RLP7;DOM34;CIT1;ATO2;RPC34;SWM2;VPS27;ATG3;LRO1;NRM1;CSE2	YNL035C;YNL034W;YNL033W;SIW14;HHT2;HHF2;KTR5;CRZ1;SAM50;SSN8;KSH1;YNL024C;FAP1;YNL022C;HDA1;ARK1;YNL019C;YNL018C;PUB1;PBI2;HEF3;SPO1	YNL035C;YNL034W;YNL033W;SIW14;HHT2;HHF2;KTR5;CRZ1;SAM50;SSN8;KSH1;YNL024C;FAP1;YNL022C;HDA1;ARK1;YNL019C;YNL018C;PUB1;PBI2;HEF3;SPO1
chr08_458412	28908463.8770123	7	6.78833409348672	4.64966306147896e-08	NA	chr08_454436	chr08_479128	chr08	454436	479128	FMO1;YHR177W;STB5;OYE2;SVP26;YHR182W;GND1;SSP1;PFS1;KOG1	FMO1;YHR177W;STB5;OYE2;SVP26;YHR182W;GND1;SSP1;PFS1;KOG1	KOG1
chr14_780696	27244525.6631823	7	6.39760532441575	1.57440981879228e-07	COS10	chr14_744873	0	chr14	744873	1e+07	YNR062C;YNR063W;YNR064C;YNR065C;YNR066C;DSE4;YNR068C;BSC5;PDR18;YNR071C;HXT17;YNR073C;AIF1;COS10;YNR075C-A;PAU6;YNR077C	YNR062C;YNR063W;YNR064C;YNR065C;YNR066C;DSE4;YNR068C;BSC5;PDR18;YNR071C;HXT17;YNR073C;AIF1;COS10;YNR075C-A;PAU6;YNR077C	YNR062C;YNR063W;YNR064C;YNR065C;YNR066C;DSE4;YNR068C;BSC5;PDR18;YNR071C;HXT17;YNR073C;AIF1;COS10
chr03_193852	25326259.1609039	7	5.94715475903084	6.3590960204677e-07	RBK1	chr03_187216	chr03_202932	chr03	187216	202932	SNT1;FEN1;RRP43;RBK1;PHO87;BUD5;MATALPHA2;MATALPHA1;YCR041W;TAF2	SNT1;FEN1;RRP43;RBK1;PHO87;BUD5;MATALPHA2;MATALPHA1;YCR041W;TAF2	SNT1;FEN1;RRP43;RBK1;PHO87
chr04_864812	24658394.0849218	7	5.79032555895897	1.03098797619932e-06	NA	chr04_135500	chr04_948281	chr04	135500	948281	INH1;YDL180W;PCL9;DLD2;YDL177C;YDL176W;AIR2;DLD1;PAR32;GLT1;UGA3;UGX2;SFA1;NRP1;FAP7;CDC36;CDC9;ENT1;YDL160C-A;DHH1;YDL159W-A;STE7;YDL157C;YDL156W;CLB3;MSH5;SAS10;RPC53;ATG9;NOP14;RPN5;LDB17;COP1;YDL144C;CCT4;CRD1;BPL1;RPO21;SCM3;RGT2;ARF2;RPL35B;RDI1;PPH21;RPL41B;SRF1;CDC53;LYS21;STF1;RPP1B;YDL129W;VCX1;PCL2;CDC48;HNT1;YDL124W;SNA4;UBP1;YDL121C;YFH1;YDL119C;CYK3;NUP84;IWR1;YDL114W;ATG20;TRM3;RRP42;TMA17;YDL109C;KIN28;MSS2;PHO2;NSE4;QRI7;QRI1;POL3;DUN1;GET3;BUG1;SNU23;RPN6;PMT1;PMT5;SRP14;UBX3;RAM1;NUR1;ASM4;LUC7;YDL086W;YDL085C-A;NDE2;SUB2;RPS16B;RPL13A;RPP1A;THI3;MRK1;MDH3;VAM6;RXT3;RPL31A;BRE1;YDL073W;YET3;BDF2;CBS1;COX9;IDP1;PEX19;UBC9;YDL063C;RPS29B;TSR1;RAD59;USO1;YDL057W;MBP1;PSA1;MCH1;PBP4;SLC1;LHP1;KNH1;STP4;SIT4;NPC2;MRP10;FAD1;MTF2;PRP11;SIR2;NAT1;PRM7;BSC1;PUS9;GPR1;SLM3;DBP10;PRP9;ARP2;MPS1;YDL027C;RTK1;DIA3;YDL022C-A;GPD1;GPM2;RPN4;OSH2;ERP3;CDC7;TSC13;NOP1;SLX5;YDL012C;GRX6;YDL009C;APC11;YDL007C-A;RPT2;PTC1;MED2;ATP16;MCD1;NHP10;RMD1;NTH1;YRB1;RCR2;YDR003W-A;RAD57;MAF1;SOK1;TRP1;GAL3;SNQ2;RPL4B;PSF1;RAD61;HED1;DAD1;KCS1;YDR018C;GCV1;DAS2;FAL1;CIS1;SES1;RPS11A;YDR026C;VPS54;REG1;RAD28;MIC14;PST2;MRH1;LYS14;YDR034C-A;YDR034W-B;ARO3;EHD3;KRS1;ENA5;ENA2;ENA1;RSM10;YDR042C;NRG1;HEM13;RPC11;BAP3;HEM12;VMS1;TPI1;DET1;DBF4;CDC34;PST1;YDR056C;YOS9;TGL2;UBC5;MAK21;YDR061W;LCB2;AIM7;RPS13;RRG1;RTR2;OCA6;DOS2;DOA4;FMP16;PAA1;IPT1;SNF11;TPS2;PPH3;RAD55;SED1;SHU2;PET100;TFB5;VPS41;PDC2;STN1;RRP8;TVP23;AFR1;SSS1;RRP1;SLU7;YDR089W;YDR090C;RLI1;UBC13;DNF2;GIS1;MSH6;GRX3;BMH2;TVP15;ARX1;STE5;SPO71;TMS1;ARP10;TMN2;TRS85;YDR109C;FOB1;ALT2;PDS1;YDR114C;YDR115W;MRPL1;TMA64;APC4;VBA4;YDR119W-A;TRM1;DPB4;KIN1;INO2;YDR124W;ECM18;SWF1;ARO1;MTC5;SAC6;FIN1;YDR131C;YDR132C;YCF1;RGP1;HPR1;RUB1;MTQ2;DOP1;PEX7;SAN1;MKC7;TAF12;SWI5;EKI1;KGD2;NUM1;CTH1;GIR2;ENT5;CPR1;RPA14;HOM2;SAC3;SSY1;YDR161W;NBP2;CWC15;SEC1;TRM82;SEC5;TAF10;CDC37;STB3;YDR169C-A;SEC7;HSP42;SUP35;ARG82;HMO1;RSM24;NGG1;UBC1;SDH4;CSN9;YDR179W-A;SCC2;SAS4;CDC1;YDR182W-A;PLP1;ATC1;UPS3;YDR186C;CCT6;SLY1;RVB1;HST4;NUP42;MSS116;YDR194W-A;REF2;CAB5;CBS2;RKM2;VPS64;SPC19;RAV2;COQ4;MSC2;EBS1;UME6;MSS4;YDR210W;GCD6;TCP1;UPC2;AHA1;ADR1;RAD9;SPR28;MFB1;GTB1;YDR222W;CRF1;HTB1;HTA1;ADK1;SIR4;PCF11;IVY1;COX20;HEM1;RTN1;LYS4;PRP42;FMN1;MRPL7;SEC26;YDR239C;SNU56;AMD2;PRP28	RPL4B;PSF1;RAD61;HED1;DAD1;KCS1;YDR018C;GCV1;DAS2;FAL1;CIS1;SES1;RPS11A;YDR026C;VPS54;REG1;RAD28;MIC14;PST2;MRH1	MRH1
chr07_450738	24291065.1995926	7	5.70406877248939	1.3439587098976e-06	PIB2	chr07_432088	chr07_607151	chr07	432088	607151	MIG1;HOP2;AGA2;RPL24A;RPL30;CGR1;SCW11;CWH41;TRP5;PGD1;PIB2;STT3;ALK1;GET1;CKB1;JAC1;ATE1;KAP122;YGL015C;PUF4;PDR1;ERG4;SCL1;YGL010W;LEU1;PMA1;YGL007C-A;YGL006W-A;PMC1;COG7;RPN14;CDH1;ERP6;ERG26;YGR001C;SWC4;CUL3;PEX31;TFG2;PRP18;ECT1;STF2;SEC9;NMA2;YGR012W;SNU71;MSB2;YGR015C;YGR016W;YGR017W;YGR018C;UGA1;VMA7;YGR021W;MTL1;THG1;YGR026W;RPS25A;MSP1;ERV1;POP6;IMO32;NAG1;GSC2;TIM21;RPL26B;YGR035C;YGR035W-A;CAX4;ACB1;ORM1;KSS1;BUD9;YGR042W;NQM1;RME1;TAM41;TFC4;UFD1;SCM4;YGR050C;FMP48;YGR053C;YGR054W;MUP1;RSC1;LST7;PEF1;SPR3	PIB2;STT3	PIB2;STT3
chr10_235820	23808507.1369629	7	5.59075367686298	1.90242800511518e-06	GSH1	chr10_233551	chr10_238660	chr10	233551	238660	MEF2;GSH1;LSB6;CHS6	MEF2;GSH1;LSB6;CHS6	GSH1
